Arabic_dare,Date,USD rate,Location,type,Price(retail),MIN,MAX,MEAN
9/11/1443,6/8/2022,92.92,Cox's Bazar Sadar,Local,35.00-40.00,35.00,40.00,37.5
9/11/1443,6/8/2022,92.92,Cox's Bazar Sadar,Imported,50.00-60.00,50.00,60.00,55
9/11/1443,6/8/2022,92.92,Kishoreganj Sadar,New,25.00-30.00,25.00,30.00,27.5
9/11/1443,6/8/2022,92.92,Kurigram Sadar,Local,34.00-35.00,34.00,35.00,34.5
9/11/1443,6/8/2022,92.92,Cumilla Sadar,Imported,30.00-35.00,30.00,35.00,32.5
9/11/1443,6/8/2022,92.92,Cumilla Sadar,New,36.00-37.00,36.00,37.00,36.5
9/11/1443,6/8/2022,92.92,Kustia Sadar,Local,30.00-40.00,30.00,40.00,35
9/11/1443,6/8/2022,92.92,Khagrachhari Sadar,Local,30.00-35.00,30.00,35.00,32.5
9/11/1443,6/8/2022,92.92,Khulna Sadar,Local,34.00-35.00,34.00,35.00,34.5
9/11/1443,6/8/2022,92.92,Gaibandha Sadar,Local,30.00-34.00,30.00,34.00,32
9/11/1443,6/8/2022,92.92,Gazipur Sadar,Local,32.00-35.00,32.00,35.00,33.5
9/11/1443,6/8/2022,92.92,Gopalganj Sadar,Local,31.00-32.00,31.00,32.00,31.5
9/11/1443,6/8/2022,92.92,Chattogram Sadar,Imported,30.00-32.00,30.00,32.00,31
9/11/1443,6/8/2022,92.92,Chattogram Sadar,Local,32.00-34.00,32.00,34.00,33
9/11/1443,6/8/2022,92.92,Chadpur Sadar,Local,36.00-42.00,36.00,42.00,39
9/11/1443,6/8/2022,92.92,Chadpur Sadar,Imported,60.00-65.00,60.00,65.00,62.5
9/11/1443,6/8/2022,92.92,Chuadanga Sadar,Local,32.00-35.00,32.00,35.00,33.5
9/11/1443,6/8/2022,92.92,Joypurhat Sadar,Local,37.00-40.00,37.00,40.00,38.5
9/11/1443,6/8/2022,92.92,Joypurhat Sadar,Imported,50.00-54.00,50.00,54.00,52
9/11/1443,6/8/2022,92.92,Jamalpur Sadar,New,35.00-40.00,35.00,40.00,37.5
9/11/1443,6/8/2022,92.92,Jhalokati Sadar,Local,34.00-36.00,34.00,36.00,35
9/11/1443,6/8/2022,92.92,Jhenaidah Sadar,Imported,40.00-45.00,40.00,45.00,42.5
9/11/1443,6/8/2022,92.92,Tangail Sadar,New,34.00-35.00,34.00,35.00,34.5
9/11/1443,6/8/2022,92.92,Dhaka Sadar,Local,35.00-36.00,35.00,36.00,35.5
9/11/1443,6/8/2022,92.92,Dinajpur Sadar,Local,44.00-45.00,44.00,45.00,44.5
9/11/1443,6/8/2022,92.92,Dinajpur Sadar,Imported,47.00-50.00,47.00,50.00,48.5
