ARABIC Calender,Date,USD rate,Location,type,Price(retail),MIN,MAX
9/11/1443,6/8/2022,92.92,কক্সবাজার সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
9/11/1443,6/8/2022,92.92,কক্সবাজার সদর,পেঁয়াজ - আমদানিকৃত,50.00-60.00,50,60
9/11/1443,6/8/2022,92.92,কিশোরগঞ্জ সদর,পেঁয়াজ (নতুন),25.00-30.00,25,30
9/11/1443,6/8/2022,92.92,কুড়িগ্রাম সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35
9/11/1443,6/8/2022,92.92,কুমিল্লা সদর,পেঁয়াজ - আমদানিকৃত,30.00-35.00,30,35
9/11/1443,6/8/2022,92.92,কুমিল্লা সদর,পেঁয়াজ (নতুন),36.00-38.00,36,38
9/11/1443,6/8/2022,92.92,কুষ্টিয়া সদর,পেঁয়াজ - দেশী,30.00-40.00,30,40
9/11/1443,6/8/2022,92.92,খাগড়াছড়ি সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35
9/11/1443,6/8/2022,92.92,খুলনা সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35
9/11/1443,6/8/2022,92.92,গাইবান্ধা সদর,পেঁয়াজ - দেশী,30.00-34.00,30,34
9/11/1443,6/8/2022,92.92,গাজীপুর সদর,পেঁয়াজ - দেশী,32.00-35.00,32,35
9/11/1443,6/8/2022,92.92,গোপালগঞ্জ সদর,পেঁয়াজ - দেশী,31.00-32.00,31,32
9/11/1443,6/8/2022,92.92,চট্টগ্রাম সদর,পেঁয়াজ - আমদানিকৃত,30.00-32.00,30,32
9/11/1443,6/8/2022,92.92,চট্টগ্রাম সদর,পেঁয়াজ - দেশী,32.00-34.00,32,34
9/11/1443,6/8/2022,92.92,চাঁদপুর সদর,পেঁয়াজ - দেশী,36.00-42.00,36,42
9/11/1443,6/8/2022,92.92,চাঁদপুর সদর,পেঁয়াজ - আমদানিকৃত,60.00-65.00,60,65
9/11/1443,6/8/2022,92.92,চুয়াডাঙ্গা সদর,পেঁয়াজ - দেশী,32.00-35.00,32,35
9/11/1443,6/8/2022,92.92,জয়পুরহাট সদর,পেঁয়াজ - দেশী,38.00-40.00,38,40
9/11/1443,6/8/2022,92.92,জয়পুরহাট সদর,পেঁয়াজ - আমদানিকৃত,50.00-54.00,50,54
9/11/1443,6/8/2022,92.92,জামালপুর সদর,পেঁয়াজ (নতুন),35.00-40.00,35,40
9/11/1443,6/8/2022,92.92,ঝালকাঠি সদর,পেঁয়াজ - দেশী,34.00-36.00,34,36
9/11/1443,6/8/2022,92.92,ঝিনাইদহ সদর,পেঁয়াজ - আমদানিকৃত,40.00-45.00,40,45
9/11/1443,6/8/2022,92.92,টাংগাইল সদর বাজার,পেঁয়াজ (নতুন),34.00-35.00,34,35
9/11/1443,6/8/2022,92.92,ঢাকা সদর,পেঁয়াজ - দেশী,35.00-36.00,35,36
9/11/1443,6/8/2022,92.92,দিনাজপুর সদর,পেঁয়াজ - দেশী,44.00-45.00,44,45
9/11/1443,6/8/2022,92.92,দিনাজপুর সদর,পেঁয়াজ - আমদানিকৃত,48.00-50.00,48,50
9/11/1443,6/8/2022,92.92,নওগাঁ সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35
9/11/1443,6/8/2022,92.92,নড়াইল সদর,পেঁয়াজ - আমদানিকৃত,35.00-36.00,35,36
9/11/1443,6/8/2022,92.92,নড়াইল সদর,পেঁয়াজ - দেশী,40.00-42.00,40,42
9/11/1443,6/8/2022,92.92,নবাবগঞ্জ সদর,পেঁয়াজ - দেশী,35.00-38.00,35,38
9/11/1443,6/8/2022,92.92,নরসিংদী সদর,পেঁয়াজ - আমদানিকৃত,32.00-33.00,32,33
9/11/1443,6/8/2022,92.92,নরসিংদী সদর,পেঁয়াজ (নতুন),32.00-35.00,32,35
9/11/1443,6/8/2022,92.92,নাটোর সদর,পেঁয়াজ - দেশী,32.00-34.00,32,34
9/11/1443,6/8/2022,92.92,নারায়ণগঞ্জ সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
9/11/1443,6/8/2022,92.92,নীলফামারী সদর,পেঁয়াজ (নতুন),30.00-32.00,30,32
9/11/1443,6/8/2022,92.92,নেত্রকোনা সদর,পেঁয়াজ - দেশী,33.00-35.00,33,35
9/11/1443,6/8/2022,92.92,নোয়াখালি সদর,পেঁয়াজ - দেশী,34.00-36.00,34,36
9/11/1443,6/8/2022,92.92,পঞ্চগ্রাম সদর,পেঁয়াজ - দেশী,40.00-42.00,40,42
9/11/1443,6/8/2022,92.92,পটুয়াখালি সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
9/11/1443,6/8/2022,92.92,পাবনা সদর,পেঁয়াজ (নতুন),35.00-36.00,35,36
9/11/1443,6/8/2022,92.92,পিরোজপুর সদর,পেঁয়াজ (নতুন),34.00-36.00,34,36
9/11/1443,6/8/2022,92.92,ফরিদপুর সদর,পেঁয়াজ - দেশী,35.00-36.00,35,36
9/11/1443,6/8/2022,92.92,ফেনী সদর,পেঁয়াজ (নতুন),35.00-40.00,35,40
9/11/1443,6/8/2022,92.92,বগুড়া সদর,পেঁয়াজ (নতুন),30.00-32.00,30,32
9/11/1443,6/8/2022,92.92,বরগুনা সদর,পেঁয়াজ - দেশী,34.00-38.00,34,38
9/11/1443,6/8/2022,92.92,বরগুনা সদর,পেঁয়াজ - আমদানিকৃত,51.00-52.00,51,52
9/11/1443,6/8/2022,92.92,বরিশাল সদর,পেঁয়াজ - দেশী,32.00-34.00,32,34
9/11/1443,6/8/2022,92.92,বাগেরহাট সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35
9/11/1443,6/8/2022,92.92,বান্দরবান সদর,পেঁয়াজ - দেশী,40.00-42.00,40,42
9/11/1443,6/8/2022,92.92,ব্রাহ্মণবাড়িয়া সদর,পেঁয়াজ - আমদানিকৃত,45.00-50.00,45,50
9/11/1443,6/8/2022,92.92,ভোলা সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35
9/11/1443,6/8/2022,92.92,ময়মনসিংহ সদর,পেঁয়াজ - আমদানিকৃত,32.00-36.00,32,36
9/11/1443,6/8/2022,92.92,ময়মনসিংহ সদর,পেঁয়াজ - দেশী,36.00-38.00,36,38
9/11/1443,6/8/2022,92.92,মাগুরা সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
9/11/1443,6/8/2022,92.92,মাগুরা সদর,পেঁয়াজ - আমদানিকৃত,50.00-54.00,50,54
9/11/1443,6/8/2022,92.92,মাদারিপুর সদর,পেঁয়াজ (নতুন),35.00-40.00,35,40
9/11/1443,6/8/2022,92.92,মানিকগঞ্জ সদর,পেঁয়াজ - দেশী,36.00-38.00,36,38
9/11/1443,6/8/2022,92.92,মুনশিগঞ্জ সদর,পেঁয়াজ - আমদানিকৃত,50.00-55.00,50,55
9/11/1443,6/8/2022,92.92,মেহেরপুর সদর,পেঁয়াজ - দেশী,30.00-34.00,30,34
9/11/1443,6/8/2022,92.92,মেহেরপুর সদর,পেঁয়াজ - আমদানিকৃত,34.00-36.00,34,36
9/11/1443,6/8/2022,92.92,মৌলভিবাজার সদর,পেঁয়াজ - দেশী,38.00-40.00,38,40
9/11/1443,6/8/2022,92.92,যশোর সদর,পেঁয়াজ (নতুন),30.00-35.00,30,35
9/11/1443,6/8/2022,92.92,রংপুর মিউনিসিপ্যালিটি মার্কেট,পেঁয়াজ - দেশী,36.00-38.00,36,38
9/11/1443,6/8/2022,92.92,রাঙ্গামাটি সদর,পেঁয়াজ (নতুন),25.00-40.00,25,40
9/11/1443,6/8/2022,92.92,রাজবাড়ী সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
9/11/1443,6/8/2022,92.92,রাজশাহী সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
9/11/1443,6/8/2022,92.92,লক্ষ্মীপুর সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35
9/11/1443,6/8/2022,92.92,লালমনিরহাট সদর,পেঁয়াজ - দেশী,35.00-37.00,35,37
9/11/1443,6/8/2022,92.92,শরিয়তপুর সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35
9/11/1443,6/8/2022,92.92,শেরপুর সদর,পেঁয়াজ (নতুন),32.00-35.00,32,35
9/11/1443,6/8/2022,92.92,সাতক্ষিরা সদর,পেঁয়াজ - দেশী,36.00-40.00,36,40
9/11/1443,6/8/2022,92.92,সাতক্ষিরা সদর,পেঁয়াজ - আমদানিকৃত,40.00-45.00,40,45
9/11/1443,6/8/2022,92.92,সিরাজগঞ্জ সদর,পেঁয়াজ - দেশী,35.00-36.00,35,36
9/11/1443,6/8/2022,92.92,সিলেট সদর,পেঁয়াজ - দেশী,30.00-35.00,30,35
9/11/1443,6/8/2022,92.92,সুনামগঞ্জ সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35
9/11/1443,6/8/2022,92.92,সুনামগঞ্জ সদর,পেঁয়াজ - আমদানিকৃত,44.00-45.00,44,45
9/11/1443,6/8/2022,92.92,হবিগঞ্জ সদর,পেঁয়াজ - দেশী,35.00-40.00,35,40
2/11/1443,6/1/2022,89.06,কিশোরগঞ্জ সদর,পেঁয়াজ (নতুন),28.00-32.00,28,32
2/11/1443,6/1/2022,89.06,কুড়িগ্রাম সদর,পেঁয়াজ - দেশী,38.00-40.00,38,40
2/11/1443,6/1/2022,89.06,কুষ্টিয়া সদর,পেঁয়াজ - আমদানিকৃত,44.00-50.00,44,50
2/11/1443,6/1/2022,89.06,খাগড়াছড়ি সদর,পেঁয়াজ - দেশী,34.00-35.00,34,35
